Date,Total_Nonfarm_employment,Trended_Empl,Empl_Gap,Empl_Gap_perc,Empl_util_perc,Pers_Cons_P,annual_infl,inflexp_1yr_mean,inflexp_1yr_median,fed_funds,one_year_ED,real_output_year_ahead,output_deflator_year_ahead,cpi_year_ahead,notes,real_gnp_gdp_nxtyr,gnp_gdp_deflat_nxtyr,cpi_nxtyr,int_shrtterm_nxtyr,unem_nxtyr,hous_starts_nxtyr
1/1/1939,29923,28997.07,926,0.031931818,1.031931818,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1939,30100,29234.81,865,0.029594347,1.029594347,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1939,30280,29472.62,807,0.027394134,1.027394134,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1939,30094,29710.62,383,0.012903805,1.012903805,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1939,30300,29948.99,351,0.011720396,1.011720396,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1939,30502,30187.93,314,0.010403884,1.010403884,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1939,30419,30427.68,-9,-0.000285209,0.999714791,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1939,30662,30668.49,-6,-0.000211589,0.999788411,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1939,31032,30910.61,121,0.003927015,1.003927015,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1939,31408,31154.3,254,0.008143216,1.008143216,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
11/1/1939,31469,31399.82,69,0.002203184,1.002203184,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
12/1/1939,31539,31647.44,-108,-0.003426557,0.996573443,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1/1/1940,31603,31897.45,-294,-0.009231171,0.990768829,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1940,31715,32150.12,-435,-0.013534105,0.986465895,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1940,31826,32405.71,-580,-0.017889247,0.982110753,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1940,31699,32664.45,-965,-0.02955653,0.97044347,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1940,31880,32926.51,-1047,-0.031783188,0.968216813,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1940,31978,33192.02,-1214,-0.036575557,0.963424443,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1940,31942,33461.01,-1519,-0.045396528,0.954603472,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1940,32352,33733.46,-1381,-0.040952276,0.959047725,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1940,32810,34009.22,-1199,-0.035261505,0.964738495,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1940,33265,34288.04,-1023,-0.029836512,0.970163488,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
11/1/1940,33668,34569.6,-902,-0.026080593,0.973919407,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
12/1/1940,34172,34853.5,-682,-0.019553317,0.980446684,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1/1/1941,34480,35139.3,-659,-0.018762345,0.981237655,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2/1/1941,34844,35426.47,-582,-0.016441731,0.983558269,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3/1/1941,35094,35714.48,-620,-0.017373387,0.982626613,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4/1/1941,35468,36002.73,-535,-0.014852518,0.985147482,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5/1/1941,36182,36290.59,-109,-0.002992159,0.997007841,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
6/1/1941,36651,36577.38,74,0.002012777,1.002012777,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
7/1/1941,37137,36862.42,275,0.007448663,1.007448663,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
8/1/1941,37544,37145.05,399,0.010740268,1.010740268,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
9/1/1941,37836,37424.61,411,0.010992585,1.010992585,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
10/1/1941,37948,37700.46,248,0.006565941,1.006565941,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
11/1/1941,38024,37972.02,52,0.001369008,1.001369008,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
