year,cons
1947,14.028
1947.25,14.006
1947.5,13.995
1947.75,14.207
1948,14.433
1948.25,14.698
1948.5,14.777
1948.75,14.8
1949,14.594
1949.25,14.541
1949.5,14.704
1949.75,14.566
1950,15.155
1950.25,15.616
1950.5,16.227
1950.75,16.513
1951,16.721
1951.25,16.999
1951.5,17.337
1951.75,17.367
1952,17.542
1952.25,17.561
1952.5,17.679
1952.75,18.263
1953,18.604
1953.25,18.745
1953.5,18.631
1953.75,18.336
1954,18.249
1954.25,18.272
1954.5,18.478
1954.75,18.848
1955,19.391
1955.25,19.711
1955.5,19.975
1955.75,20.086
1956,19.995
1956.25,20.152
1956.5,20.126
1956.75,20.455
1957,20.581
1957.25,20.531
1957.5,20.729
1957.75,20.511
1958,19.956
1958.25,20.078
1958.5,20.549
1958.75,21.028
1959,21.453
1959.25,21.995
1959.5,21.969
1959.75,22.046
1960,22.54
1960.25,22.435
1960.5,22.472
1960.75,22.184
1961,22.315
1961.25,22.733
1961.5,23.1
1961.75,23.57
1962,23.993
1962.25,24.258
1962.5,24.482
1962.75,24.542
1963,24.863
1963.25,25.174
1963.5,25.648
1963.75,25.843
1964,26.423
1964.25,26.727
1964.5,27.09
1964.75,27.165
1965,27.832
1965.25,28.21
1965.5,28.782
1965.75,29.477
1966,30.2
1966.25,30.301
1966.5,30.5
1966.75,30.747
1967,31.018
1967.25,31.025
1967.5,31.272
1967.75,31.511
1968,32.16
1968.25,32.706
1968.5,32.93
1968.75,33.072
1969,33.593
1969.25,33.691
1969.5,33.904
1969.75,33.745
1970,33.692
1970.25,33.753
1970.5,34.054
1970.75,33.693
1971,34.622
1971.25,34.818
1971.5,35.096
1971.75,35.194
1972,35.823
1972.25,36.672
1972.5,37.024
1972.75,37.634
1973,38.596
1973.25,39.043
1973.5,38.835
1973.75,39.205
1974,38.861
1974.25,38.961
1974.5,38.575
1974.75,38.424
1975,37.956
1975.25,38.246
1975.5,38.891
1975.75,39.399
1976,40.294
1976.25,40.597
1976.5,40.796
1976.75,41.092
1977,41.569
1977.25,42.395
1977.5,43.154
1977.75,43.145
1978,43.292
1978.25,44.995
1978.5,45.436
1978.75,46.037
1979,46.114
1979.25,46.158
1979.5,46.489
1979.75,46.617
1980,46.767
1980.25,45.809
1980.5,45.724
1980.75,46.569
1981,47.537
1981.25,47.158
1981.5,47.731
1981.75,47.136
1982,46.363
1982.25,46.614
1982.5,46.434
1982.75,46.471
1983,47.049
1983.25,48.106
1983.5,49.055
1983.75,50.069
1984,51.04
1984.25,51.921
1984.5,52.426
1984.75,52.853
1985,53.351
1985.25,53.803
1985.5,54.644
1985.75,55.058
1986,55.587
1986.25,55.811
1986.5,56.349
1986.75,56.621
1987,56.935
1987.25,57.54
1987.5,58.04
1987.75,59.033
1988,59.338
1988.25,60.1
1988.5,60.41
1988.75,61.217
1989,61.792
1989.25,62.254
1989.5,62.748
1989.75,62.885
1990,63.542
1990.25,63.794
1990.5,63.793
1990.75,63.234
1991,62.928
1991.25,63.353
1991.5,63.62
1991.75,63.869
1992,64.57
1992.25,65.256
1992.5,65.93
1992.75,66.623
1993,66.746
1993.25,67.173
1993.5,67.526
1993.75,68.418
1994,69.084
1994.25,70.029
1994.5,70.48
1994.75,71.263
1995,71.438
1995.25,71.591
1995.5,72.193
1995.75,72.696
1996,73.194
1996.25,74.46
1996.5,75.107
1996.75,75.927
1997,76.511
1997.25,77.646
1997.5,78.62
1997.75,79.223
1998,79.972
1998.25,80.691
1998.5,81.756
1998.75,83.171
1999,83.912
1999.25,84.568
1999.5,85.643
1999.75,87.181
2000,87.409
2000.25,89.114
2000.5,89.189
2000.75,89.717
2001,89.422
2001.25,90.009
2001.5,89.76
2001.75,90.074
2002,90.844
2002.25,91.327
2002.5,91.79
2002.75,91.821
2003,92.204
2003.25,92.986
2003.5,94.516
2003.75,95.371
2004,95.999
2004.25,96.617
2004.5,97.336
2004.75,98.133
2005,99.145
2005.25,99.586
2005.5,100.377
2005.75,100.892
2006,102.166
2006.25,102.581
2006.5,102.594
2006.75,103.292
2007,103.432
2007.25,104.362
2007.5,105.125
2007.75,105.569
2008,105.101
2008.25,105.447
2008.5,104.468
2008.75,102.064
2009,100.319
2009.25,100.145
2009.5,100.567
2009.75,101.509
2010,102.494
2010.25,103.45
2010.5,104.093
2010.75,104.699
2011,104.792
2011.25,105.14
2011.5,105.614
2011.75,106.392
