Date,Euro Dollar (ED04) 4th Contract; 1982 - present::Settle,
11-Feb-1982,84.35,
12-Feb-1982,84.35,
16-Feb-1982,84.45,
17-Feb-1982,84.45,
18-Feb-1982,84.7,
19-Feb-1982,84.75,
22-Feb-1982,85.55,
23-Feb-1982,85.4,
24-Feb-1982,85.35,
25-Feb-1982,85.27,
26-Feb-1982,85.1,
01-Mar-1982,85.3,
02-Mar-1982,85.4,
03-Mar-1982,85.5,
04-Mar-1982,85.6,
05-Mar-1982,85.7,
08-Mar-1982,85.8,
09-Mar-1982,85.63,
10-Mar-1982,85.55,
11-Mar-1982,85.35,
12-Mar-1982,85,
15-Mar-1982,85.03,
06-Apr-1982,84.68,
07-Apr-1982,84.6,
08-Apr-1982,84.78,
12-Apr-1982,84.78,
13-Apr-1982,84.78,
14-Apr-1982,84.9,
15-Apr-1982,84.9,
16-Apr-1982,85,
19-Apr-1982,85.18,
20-Apr-1982,85.23,
21-Apr-1982,85.22,
22-Apr-1982,85.25,
23-Apr-1982,85.57,
26-Apr-1982,85.6,
27-Apr-1982,85.49,
28-Apr-1982,85.45,
29-Apr-1982,85.42,
30-Apr-1982,85.53,
03-May-1982,85.28,
04-May-1982,85.37,
05-May-1982,85.51,
06-May-1982,85.8,
07-May-1982,85.99,
10-May-1982,85.88,
11-May-1982,85.9,
12-May-1982,85.72,
13-May-1982,85.6,
14-May-1982,85.75,
17-May-1982,85.62,
18-May-1982,85.65,
19-May-1982,85.6,
20-May-1982,86,
21-May-1982,85.87,
24-May-1982,85.84,
25-May-1982,85.7,
26-May-1982,85.74,
27-May-1982,85.59,
28-May-1982,85.67,
01-Jun-1982,85.08,
02-Jun-1982,85.16,
03-Jun-1982,85.05,
04-Jun-1982,84.9,
07-Jun-1982,85.09,
08-Jun-1982,84.84,
09-Jun-1982,84.99,
10-Jun-1982,84.89,
11-Jun-1982,85.03,
14-Jun-1982,84.51,
15-Jun-1982,84.45,
16-Jun-1982,84.5,
17-Jun-1982,84.24,
18-Jun-1982,84.22,
21-Jun-1982,84.22,
22-Jun-1982,84.13,
23-Jun-1982,84.19,
24-Jun-1982,84.06,
25-Jun-1982,83.97,
28-Jun-1982,84.14,
29-Jun-1982,84.36,
30-Jun-1982,84.49,
01-Jul-1982,84.63,
02-Jul-1982,84.55,
06-Jul-1982,84.59,
07-Jul-1982,84.68,
08-Jul-1982,85.1,
09-Jul-1982,85.23,
12-Jul-1982,85.36,
13-Jul-1982,85.13,
14-Jul-1982,85,
15-Jul-1982,85.16,
16-Jul-1982,85.57,
19-Jul-1982,85.5,
20-Jul-1982,85.73,
21-Jul-1982,85.56,
22-Jul-1982,85.7,
23-Jul-1982,85.81,
26-Jul-1982,85.58,
27-Jul-1982,85.53,
28-Jul-1982,85.25,
