Date,Euro Dollar (ED04) 4th Contract; 1982 - present::Settle,
28-Feb-1982,85.1,
31-Mar-1982,85.03,
30-Apr-1982,85.53,
31-May-1982,85.67,
30-Jun-1982,84.49,
31-Jul-1982,85.56,
31-Aug-1982,86.07,
30-Sep-1982,87.06,
31-Oct-1982,88.54,
30-Nov-1982,88.68,
31-Dec-1982,89.66,
31-Jan-1983,89.32,
28-Feb-1983,90.39,
31-Mar-1983,89.46,
30-Apr-1983,90.29,
31-May-1983,89.4,
30-Jun-1983,89.44,
31-Jul-1983,88.46,
31-Aug-1983,88.43,
30-Sep-1983,89.19,
31-Oct-1983,89.01,
30-Nov-1983,88.98,
31-Dec-1983,88.75,
31-Jan-1984,88.94,
29-Feb-1984,88.5,
31-Mar-1984,87.59,
30-Apr-1984,87.13,
31-May-1984,85.28,
30-Jun-1984,85.3,
31-Jul-1984,86.82,
31-Aug-1984,86.99,
30-Sep-1984,87.54,
31-Oct-1984,88.49,
30-Nov-1984,89.07,
31-Dec-1984,88.95,
31-Jan-1985,89.57,
28-Feb-1985,88.44,
31-Mar-1985,88.79,
30-Apr-1985,89.31,
31-May-1985,90.81,
30-Jun-1985,90.79,
31-Jul-1985,90.31,
31-Aug-1985,90.72,
30-Sep-1985,90.6,
31-Oct-1985,91.09,
30-Nov-1985,91.53,
31-Dec-1985,91.66,
31-Jan-1986,91.61,
28-Feb-1986,92.19,
31-Mar-1986,92.8,
30-Apr-1986,92.9,
31-May-1986,92.41,
30-Jun-1986,92.84,
31-Jul-1986,93.28,
31-Aug-1986,94.08,
30-Sep-1986,93.31,
31-Oct-1986,93.61,
30-Nov-1986,93.82,
31-Dec-1986,93.57,
31-Jan-1987,93.62,
28-Feb-1987,93.57,
31-Mar-1987,93.16,
30-Apr-1987,91.95,
31-May-1987,91.65,
30-Jun-1987,91.89,
31-Jul-1987,91.76,
31-Aug-1987,91.46,
30-Sep-1987,90.53,
31-Oct-1987,91.38,
30-Nov-1987,91.69,
31-Dec-1987,91.52,
31-Jan-1988,92.19,
29-Feb-1988,92.47,
31-Mar-1988,91.87,
30-Apr-1988,91.56,
31-May-1988,91.18,
30-Jun-1988,91.36,
31-Jul-1988,90.99,
31-Aug-1988,90.69,
30-Sep-1988,91.02,
31-Oct-1988,91.37,
30-Nov-1988,90.9,
31-Dec-1988,90.35,
31-Jan-1989,90.35,
28-Feb-1989,89.64,
31-Mar-1989,89.39,
30-Apr-1989,90.4,
31-May-1989,91,
30-Jun-1989,91.69,
31-Jul-1989,92.24,
31-Aug-1989,91.44,
30-Sep-1989,91.33,
31-Oct-1989,91.88,
30-Nov-1989,92.21,
31-Dec-1989,91.92,
31-Jan-1990,91.27,
28-Feb-1990,91.3,
31-Mar-1990,90.96,
30-Apr-1990,90.61,
31-May-1990,91.33,
30-Jun-1990,91.64,
31-Jul-1990,92.09,
31-Aug-1990,91.86,
30-Sep-1990,91.65,
31-Oct-1990,92.08,
30-Nov-1990,92.44,
31-Dec-1990,92.47,
31-Jan-1991,92.55,
28-Feb-1991,92.66,
31-Mar-1991,92.51,
30-Apr-1991,92.83,
31-May-1991,93.04,
30-Jun-1991,92.51,
31-Jul-1991,92.93,
31-Aug-1991,93.71,
30-Sep-1991,93.94,
31-Oct-1991,94.37,
30-Nov-1991,94.88,
31-Dec-1991,95.16,
31-Jan-1992,94.56,
29-Feb-1992,94.63,
31-Mar-1992,94.01,
30-Apr-1992,94.47,
31-May-1992,94.96,
30-Jun-1992,95.09,
31-Jul-1992,95.65,
31-Aug-1992,96.05,
30-Sep-1992,96.15,
31-Oct-1992,95.46,
30-Nov-1992,95.07,
31-Dec-1992,94.89,
31-Jan-1993,95.63,
28-Feb-1993,96.07,
31-Mar-1993,95.89,
30-Apr-1993,96.19,
31-May-1993,95.74,
30-Jun-1993,95.82,
31-Jul-1993,95.8,
31-Aug-1993,96.2,
30-Sep-1993,96.03,
31-Oct-1993,96.01,
30-Nov-1993,95.78,
31-Dec-1993,95.43,
31-Jan-1994,95.67,
28-Feb-1994,95.14,
31-Mar-1994,94.41,
30-Apr-1994,93.87,
31-May-1994,93.74,
30-Jun-1994,93.36,
31-Jul-1994,93.74,
31-Aug-1994,93.72,
30-Sep-1994,92.97,
31-Oct-1994,92.8,
30-Nov-1994,92.15,
31-Dec-1994,91.47,
31-Jan-1995,92.27,
28-Feb-1995,93.03,
31-Mar-1995,92.97,
