date,MCALDT,TMNOMPRC_1,TMNOMPRC_2,TMNOMPRC_3,TMNOMPRC_4,TMNOMPRC_5,TMYTM_1,TMYTM_2,TMYTM_3,TMYTM_4,TMYTM_5
1952-06-30,06/30/1952,98.17776251,96.253133308,94.24671324,92.634134427,90.418295261,1.839044729,1.9094329753,1.9751411607,1.9128122484,2.0166812595
1952-07-31,07/31/1952,98.094756029,96.031453172,93.931225545,92.308865392,89.85157625,1.9236276208,2.0274979415,2.0907291852,1.99938059,2.1390484454
1952-08-29,08/29/1952,98.057807665,95.974988199,93.781939408,92.145776194,89.571687281,1.9506124186,2.0485160779,2.13602831,2.0407651301,2.2002069186
1952-09-30,09/30/1952,98.031187574,95.909788679,93.755108098,92.096104329,89.16764099,1.9884517391,2.0881068789,2.1494679389,2.059849511,2.2917837821
1952-10-31,10/31/1952,98.110769098,95.974490007,93.758273012,91.929019277,89.724841042,1.9125448041,2.0600319607,2.1483427163,2.1023959583,2.1672628003
1952-11-28,11/28/1952,97.955385991,95.742391864,93.64014531,91.877553901,89.642589464,2.0545477967,2.1695071666,2.1863730037,2.1134929932,2.1843991221
1952-12-31,12/31/1952,98.02174548,95.713132347,93.587188548,91.904601621,89.539636141,1.9980839282,2.1907336418,2.2112421907,2.1090326506,2.2085656926
1953-01-30,01/30/1953,98.051151529,95.796107511,93.800089121,91.812073701,89.271360327,1.9734958363,2.1444690396,2.1315328098,2.1327378277,2.2673045156
1953-02-27,02/27/1953,97.950397468,95.703146578,93.665604522,91.616922633,88.922716264,2.0765877478,2.1929463934,2.1773279722,2.1858603387,2.3454805928
1953-03-31,03/31/1953,97.947158452,95.667893512,93.193029115,91.001626366,88.317288634,2.0742052204,2.2143717403,2.3520566372,2.3589360202,2.4833252594
1953-04-30,04/30/1953,97.663527674,95.160909038,93.622189338,90.762683471,87.407649732,2.3642006011,2.483449377,2.1947545812,2.4213905641,2.6902734233
1953-05-29,05/29/1953,97.445032184,94.815474484,93.002406315,90.015749438,85.910322512,2.5952844273,2.6546050259,2.4115536146,2.6242461499,3.0356604322
1953-06-30,06/30/1953,97.60831664,95.231410536,93.314669561,90.714226635,86.966032273,2.4207484724,2.4430178,2.3064287511,2.4397417956,2.7915218536
1953-07-31,07/31/1953,97.740266767,95.446887177,93.386230721,90.765642025,87.296250437,2.2919358576,2.3364136583,2.2787948117,2.4205762202,2.7157653097
1953-08-31,08/31/1953,97.656614796,95.580717001,93.342117085,90.615910147,86.987840079,2.3712791117,2.2599545646,2.2945301081,2.4635094918,2.7895654079
1953-09-30,09/30/1953,97.996238548,95.858539975,93.491827148,91.473055351,88.575641727,2.0241090214,2.114831159,2.2452558299,2.2266183222,2.4249369943
1953-10-30,10/30/1953,98.35431068,96.402590345,94.356859484,92.144231882,89.350670592,1.6639400254,1.8293497434,1.9326771329,2.0425794197,2.2495634902
1953-11-30,11/30/1953,98.435561967,96.368827313,94.434451191,92.156229799,88.599256461,1.5768045112,1.8493702393,1.9070661428,2.0421224794,2.4222616356
1953-12-31,12/31/1953,98.437834011,96.469748255,94.279854523,92.489970375,89.523314909,1.5744963841,1.7995008871,1.9616303347,1.9504135375,2.2122096163
1954-01-29,01/29/1954,98.846368178,97.152792846,95.097890704,93.43644334,89.917561857,1.1540144102,1.4403170994,1.6708688143,1.6937380006,2.1232114715
1954-02-26,02/26/1954,98.899739262,97.435505203,95.598779238,93.682496925,91.022559633,1.1003291719,1.2936592119,1.4962385557,1.6281248741,1.8791966338
1954-03-31,03/31/1954,98.947087938,97.60868029,95.817296442,93.808056078,91.308736179,1.0584944007,1.2118480209,1.4255341313,1.5968924735,1.8174783919
1954-04-30,04/30/1954,99.168244167,97.750437712,95.935126147,94.0051571,92.403439541,0.8375288601,1.1360692071,1.3820043602,1.54445575,1.5792542756
1954-05-28,05/28/1954,99.148707215,97.816292171,95.788147982,92.950176766,91.503146773,0.8479673723,1.0979357221,1.4291535611,1.8251640328,1.773992351
1954-06-30,06/30/1954,99.271010513,98.191495394,96.125475322,93.616793568,91.540336338,0.7316595997,0.9125289661,1.3196040225,1.6478813549,1.7668413419
1954-07-30,07/30/1954,99.370913323,98.171259674,96.077043738,93.782569662,91.61968303,0.6328075124,0.9203128566,1.3315605037,1.6025839776,1.7485648932
1954-08-31,08/31/1954,99.179365266,98.166718813,96.087674799,93.782949468,91.316584749,0.8240204764,0.9238814298,1.3303044448,1.6057779793,1.8157602793
1954-09-30,09/30/1954,99.065333157,97.918799512,95.532447762,93.680833527,91.02098173,0.9390622632,1.0530238568,1.5220843326,1.6307972808,1.8805722406
1954-10-29,10/29/1954,98.953920102,97.415311226,95.327823369,93.116525249,91.175700276,1.0458590361,1.3039806095,1.5905909504,1.7793068311,1.8456127707
1954-11-30,11/30/1954,98.963321256,97.350791823,95.300456974,92.771089063,90.745705502,1.0420896868,1.3406295467,1.6045193889,1.8771642023,1.9411170369
1954-12-31,12/31/1954,98.870622137,97.073936253,94.985048578,92.34743083,90.359202506,1.1389241527,1.4828321483,1.7134582727,1.9889452451,2.0264359622
