,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1990-08-01,0.000,0.137,0.646,0.441,0.513,0.001,0.000,0.000
1990-09-01,0.187,0.008,2.196,1.329,2.374,0.327,0.113,0.349
1990-10-01,0.190,0.049,2.244,1.436,2.273,0.176,0.037,0.145
1990-11-01,0.073,0.008,1.334,0.898,1.475,0.127,0.053,0.113
1990-12-01,0.003,0.078,0.743,0.411,0.589,0.396,0.348,0.335
1991-01-01,0.404,0.005,0.026,0.008,0.026,0.146,0.140,0.161
1991-02-01,0.502,0.070,0.002,0.042,0.006,0.232,0.369,0.281
1991-03-01,0.196,0.163,0.001,0.006,0.000,0.241,0.422,0.314
1991-04-01,0.343,0.004,0.005,0.055,0.005,0.016,0.049,0.031
1991-05-01,0.168,0.010,0.001,0.012,0.000,0.000,0.015,0.004
1991-06-01,0.060,0.015,0.018,0.010,0.030,0.023,0.047,0.029
1991-07-01,0.111,0.077,0.041,0.037,0.022,0.059,0.037,0.038
1991-08-01,0.004,0.064,0.020,0.009,0.021,0.031,0.065,0.032
1991-09-01,0.001,0.022,0.001,0.000,0.006,0.035,0.019,0.041
1991-10-01,0.031,0.017,0.039,0.019,0.039,0.013,0.025,0.012
1991-11-01,0.137,0.151,0.051,0.070,0.097,0.148,0.085,0.152
1991-12-01,0.013,0.028,0.005,0.000,0.007,0.007,0.002,0.005
1992-01-01,0.146,0.183,0.074,0.106,0.068,0.178,0.254,0.178
1992-02-01,0.160,0.001,0.113,0.119,0.137,0.006,0.000,0.009
1992-03-01,0.568,0.000,0.435,0.532,0.437,0.001,0.000,0.000
1992-04-01,0.882,0.178,0.703,0.908,0.649,0.110,0.134,0.112
1992-05-01,0.110,0.274,0.148,0.229,0.141,0.185,0.345,0.209
1992-06-01,0.136,0.257,0.118,0.231,0.123,0.164,0.287,0.171
1992-07-01,0.349,0.131,0.237,0.405,0.218,0.084,0.097,0.074
1992-08-01,0.010,0.078,0.011,0.001,0.009,0.047,0.102,0.042
1992-09-01,0.054,0.074,0.000,0.011,0.000,0.188,0.118,0.151
1992-10-01,0.018,0.064,0.109,0.064,0.127,0.009,0.022,0.020
1992-11-01,0.248,0.003,0.610,0.420,0.565,0.037,0.004,0.017
1992-12-01,0.869,0.000,1.601,1.282,1.626,0.048,0.010,0.044
1993-01-01,0.003,0.067,0.233,0.066,0.249,0.289,0.174,0.301
1993-02-01,0.024,0.106,0.067,0.016,0.084,0.228,0.205,0.258
1993-03-01,0.281,0.020,0.000,0.098,0.001,0.049,0.000,0.042
1993-04-01,0.262,0.000,0.000,0.063,0.000,0.095,0.032,0.083
1993-05-01,0.167,0.125,0.000,0.026,0.001,0.021,0.025,0.017
1993-06-01,0.287,0.031,0.005,0.060,0.007,0.005,0.003,0.007
1993-07-01,0.458,0.132,0.044,0.107,0.046,0.031,0.005,0.020
1993-08-01,0.362,0.000,0.049,0.097,0.053,0.027,0.044,0.030
1993-09-01,0.930,0.232,0.253,0.443,0.233,0.062,0.061,0.063
1993-10-01,0.383,0.110,0.074,0.111,0.103,0.029,0.015,0.035
1993-11-01,0.041,0.029,0.097,0.006,0.129,0.030,0.002,0.026
1993-12-01,0.000,0.069,0.221,0.084,0.193,0.000,0.002,0.000
1994-01-01,0.274,0.059,0.015,0.029,0.027,0.009,0.000,0.007
1994-02-01,0.043,0.105,0.050,0.004,0.085,0.008,0.017,0.003
1994-03-01,0.042,0.059,0.427,0.241,0.497,0.003,0.004,0.001
1994-04-01,0.307,0.011,1.048,0.701,0.878,0.009,0.007,0.005
1994-05-01,0.032,0.021,0.566,0.305,0.588,0.124,0.186,0.164
1994-06-01,0.024,0.010,0.345,0.194,0.387,0.003,0.011,0.011
1994-07-01,0.651,0.376,1.203,1.036,1.034,0.474,0.470,0.452
1994-08-01,0.385,0.257,0.840,0.668,0.837,0.372,0.338,0.388
1994-09-01,0.204,0.001,0.604,0.447,0.653,0.026,0.019,0.031
1994-10-01,1.123,0.078,1.719,1.433,1.678,0.175,0.106,0.150
1994-11-01,0.332,0.002,0.991,0.613,1.038,0.024,0.010,0.021
1994-12-01,0.674,0.060,1.427,0.927,1.310,0.001,0.036,0.005
1995-01-01,0.460,0.097,0.806,0.668,0.720,0.122,0.107,0.129
1995-02-01,0.002,0.363,0.012,0.024,0.007,0.248,0.373,0.284
1995-03-01,0.051,0.041,0.010,0.015,0.013,0.038,0.052,0.041
1995-04-01,0.082,0.017,0.064,0.079,0.102,0.023,0.017,0.009
1995-05-01,0.346,0.191,0.460,0.423,0.504,0.172,0.177,0.138
1995-06-01,1.090,0.057,1.168,1.060,1.312,0.054,0.026,0.074
1995-07-01,0.510,0.090,0.583,0.494,0.643,0.061,0.045,0.082
1995-08-01,0.087,0.012,0.083,0.056,0.116,0.000,0.001,0.002
1995-09-01,0.500,0.085,0.336,0.378,0.361,0.017,0.016,0.026
1995-10-01,0.367,0.003,0.426,0.336,0.443,0.001,0.003,0.002
1995-11-01,0.545,0.010,0.447,0.474,0.532,0.052,0.063,0.027
1995-12-01,0.165,0.003,0.199,0.179,0.242,0.023,0.017,0.009
1996-01-01,0.905,0.007,1.072,0.960,1.188,0.000,0.000,0.004
1996-02-01,0.007,0.331,0.038,0.007,0.035,0.245,0.267,0.251
1996-03-01,0.004,0.174,0.010,0.006,0.018,0.199,0.111,0.195
1996-04-01,0.112,0.062,0.052,0.101,0.037,0.058,0.038,0.062
1996-05-01,0.118,0.034,0.099,0.154,0.085,0.035,0.010,0.028
1996-06-01,0.318,0.052,0.214,0.421,0.168,0.025,0.093,0.031
1996-07-01,0.025,0.000,0.032,0.049,0.065,0.001,0.005,0.004
1996-08-01,0.211,0.024,0.140,0.209,0.110,0.032,0.031,0.043
1996-09-01,0.159,0.027,0.108,0.143,0.094,0.026,0.017,0.018
1996-10-01,0.033,0.106,0.019,0.028,0.024,0.102,0.084,0.108
1996-11-01,0.012,0.022,0.043,0.019,0.054,0.008,0.016,0.007
1996-12-01,0.000,0.034,0.000,0.001,0.002,0.017,0.036,0.017
1997-01-01,0.050,0.003,0.093,0.033,0.096,0.010,0.002,0.005
1997-02-01,0.062,0.090,0.047,0.037,0.055,0.062,0.108,0.060
1997-03-01,0.016,0.160,0.155,0.024,0.219,0.017,0.117,0.011
1997-04-01,0.054,0.032,0.355,0.078,0.383,0.222,0.063,0.222
1997-05-01,0.033,0.003,0.261,0.063,0.286,0.096,0.023,0.116
1997-06-01,0.009,0.001,0.003,0.005,0.011,0.007,0.000,0.021
1997-07-01,0.009,0.003,0.000,0.006,0.000,0.014,0.006,0.027
1997-08-01,0.008,0.037,0.002,0.033,0.000,0.009,0.046,0.004
1997-09-01,0.012,0.019,0.004,0.010,0.006,0.001,0.009,0.001
1997-10-01,0.009,0.005,0.018,0.015,0.115,0.014,0.005,0.043
1997-11-01,0.074,0.129,0.005,0.094,0.003,0.042,0.117,0.028
1997-12-01,0.020,0.046,0.003,0.024,0.005,0.002,0.028,0.000
1998-01-01,0.700,0.117,0.607,0.556,0.592,0.133,0.028,0.042
1998-02-01,0.269,0.234,0.135,0.178,0.130,0.120,0.099,0.063
