,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1990-08-01,0.000,0.290,0.390,0.231,0.243,0.005,0.036,0.008
1990-09-01,0.098,0.133,1.423,0.756,1.491,0.144,0.001,0.152
1990-10-01,0.171,0.162,1.703,0.988,1.613,0.111,0.000,0.080
1990-11-01,0.099,0.038,1.110,0.683,1.129,0.118,0.014,0.096
1990-12-01,0.024,0.052,0.692,0.342,0.459,0.431,0.254,0.342
1991-01-01,0.261,0.005,0.028,0.009,0.016,0.146,0.103,0.155
1991-02-01,0.258,0.144,0.002,0.016,0.000,0.312,0.401,0.349
1991-03-01,0.084,0.249,0.002,0.001,0.000,0.309,0.441,0.371
1991-04-01,0.155,0.009,0.001,0.020,0.000,0.056,0.089,0.075
1991-05-01,0.066,0.000,0.001,0.002,0.002,0.013,0.035,0.022
1991-06-01,0.041,0.017,0.020,0.016,0.045,0.027,0.029,0.029
1991-07-01,0.076,0.062,0.039,0.039,0.029,0.040,0.036,0.027
1991-08-01,0.001,0.073,0.006,0.000,0.004,0.030,0.075,0.035
1991-09-01,0.002,0.024,0.005,0.006,0.019,0.029,0.021,0.038
1991-10-01,0.016,0.029,0.016,0.003,0.013,0.016,0.033,0.017
1991-11-01,0.128,0.153,0.064,0.095,0.130,0.151,0.097,0.163
1991-12-01,0.017,0.042,0.000,0.005,0.000,0.013,0.007,0.012
1992-01-01,0.106,0.188,0.061,0.104,0.067,0.183,0.225,0.161
1992-02-01,0.088,0.001,0.070,0.086,0.104,0.000,0.002,0.002
1992-03-01,0.373,0.010,0.303,0.395,0.320,0.012,0.003,0.006
1992-04-01,0.693,0.108,0.580,0.781,0.539,0.066,0.095,0.074
1992-05-01,0.098,0.229,0.141,0.227,0.136,0.132,0.287,0.159
1992-06-01,0.135,0.239,0.129,0.249,0.134,0.136,0.263,0.147
1992-07-01,0.306,0.111,0.223,0.398,0.206,0.066,0.079,0.061
1992-08-01,0.004,0.096,0.003,0.007,0.002,0.047,0.101,0.043
1992-09-01,0.015,0.135,0.006,0.000,0.019,0.237,0.158,0.203
1992-10-01,0.050,0.013,0.169,0.126,0.206,0.000,0.001,0.001
1992-11-01,0.257,0.000,0.602,0.437,0.586,0.049,0.012,0.033
1992-12-01,0.732,0.006,1.354,1.108,1.411,0.032,0.005,0.036
1993-01-01,0.000,0.082,0.252,0.092,0.293,0.252,0.165,0.285
1993-02-01,0.012,0.111,0.074,0.027,0.103,0.186,0.177,0.229
1993-03-01,0.221,0.012,0.000,0.067,0.005,0.044,0.000,0.045
1993-04-01,0.208,0.001,0.000,0.043,0.001,0.082,0.025,0.083
1993-05-01,0.126,0.075,0.000,0.013,0.000,0.016,0.017,0.008
1993-06-01,0.270,0.028,0.009,0.059,0.008,0.000,0.000,0.003
1993-07-01,0.390,0.106,0.043,0.090,0.042,0.039,0.009,0.021
1993-08-01,0.435,0.008,0.100,0.149,0.102,0.000,0.004,0.002
1993-09-01,0.921,0.249,0.298,0.464,0.261,0.109,0.103,0.099
1993-10-01,0.422,0.142,0.117,0.149,0.149,0.070,0.050,0.070
1993-11-01,0.025,0.017,0.093,0.009,0.138,0.027,0.003,0.030
1993-12-01,0.000,0.075,0.171,0.065,0.154,0.001,0.007,0.001
1994-01-01,0.229,0.054,0.015,0.025,0.026,0.017,0.002,0.010
1994-02-01,0.036,0.101,0.041,0.004,0.079,0.013,0.018,0.004
