,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1990-08-01,0.014,0.194,0.213,0.114,0.069,0.037,0.103,0.043
1990-09-01,0.043,0.081,0.999,0.531,0.944,0.059,0.009,0.067
1990-10-01,0.121,0.063,1.334,0.811,1.125,0.066,0.010,0.046
1990-11-01,0.114,0.002,1.027,0.701,0.961,0.126,0.015,0.109
1990-12-01,0.078,0.312,0.827,0.508,0.496,0.529,0.312,0.447
1991-01-01,0.148,0.108,0.040,0.000,0.025,0.136,0.106,0.161
1991-02-01,0.102,0.473,0.030,0.002,0.011,0.364,0.473,0.428
1991-03-01,0.031,0.452,0.016,0.006,0.012,0.315,0.475,0.398
1991-04-01,0.068,0.103,0.013,0.000,0.013,0.082,0.133,0.115
1991-05-01,0.024,0.040,0.011,0.003,0.020,0.027,0.065,0.046
1991-06-01,0.039,0.016,0.016,0.014,0.038,0.018,0.023,0.022
1991-07-01,0.066,0.043,0.029,0.028,0.016,0.033,0.026,0.021
1991-08-01,0.000,0.066,0.006,0.000,0.007,0.022,0.063,0.025
1991-09-01,0.001,0.006,0.001,0.001,0.005,0.012,0.009,0.016
1991-10-01,0.001,0.047,0.007,0.000,0.008,0.022,0.047,0.023
1991-11-01,0.167,0.140,0.087,0.114,0.143,0.178,0.140,0.190
1991-12-01,0.036,0.029,0.001,0.009,0.000,0.024,0.020,0.020
1992-01-01,0.081,0.239,0.027,0.048,0.024,0.174,0.217,0.160
1992-02-01,0.117,0.000,0.082,0.088,0.100,0.007,0.001,0.013
1992-03-01,0.341,0.003,0.262,0.321,0.242,0.003,0.001,0.002
1992-04-01,0.682,0.097,0.545,0.683,0.447,0.087,0.101,0.085
1992-05-01,0.157,0.278,0.168,0.246,0.134,0.151,0.299,0.167
1992-06-01,0.198,0.273,0.167,0.274,0.138,0.162,0.285,0.161
1992-07-01,0.373,0.094,0.256,0.382,0.191,0.095,0.107,0.080
1992-08-01,0.005,0.130,0.002,0.021,0.000,0.073,0.140,0.065
1992-09-01,0.000,0.195,0.022,0.007,0.029,0.255,0.197,0.229
