,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1990-08-01,0.000,0.147,0.632,0.458,0.517,0.024,0.016,0.019
1990-09-01,0.163,0.007,2.177,1.376,2.268,0.477,0.235,0.488
1990-10-01,0.095,0.093,1.974,1.331,1.992,0.195,0.077,0.162
1990-11-01,0.005,0.062,0.970,0.692,1.130,0.074,0.039,0.063
1990-12-01,0.066,0.000,0.350,0.183,0.294,0.162,0.176,0.140
1991-01-01,0.800,0.023,0.007,0.077,0.002,0.044,0.038,0.053
1991-02-01,1.010,0.000,0.105,0.175,0.091,0.066,0.128,0.095
1991-03-01,0.391,0.063,0.044,0.049,0.025,0.119,0.225,0.176
1991-04-01,0.580,0.055,0.054,0.126,0.038,0.000,0.003,0.003
1991-05-01,0.213,0.022,0.005,0.014,0.000,0.001,0.006,0.004
1991-06-01,0.026,0.059,0.004,0.000,0.005,0.055,0.095,0.074
1991-07-01,0.091,0.051,0.033,0.024,0.012,0.039,0.026,0.023
1991-08-01,0.043,0.013,0.072,0.056,0.083,0.001,0.015,0.002
1991-09-01,0.004,0.005,0.003,0.006,0.001,0.010,0.006,0.016
1991-10-01,0.071,0.002,0.080,0.050,0.079,0.001,0.008,0.001
1991-11-01,0.123,0.138,0.036,0.042,0.060,0.095,0.067,0.110
1991-12-01,0.004,0.016,0.023,0.011,0.029,0.000,0.000,0.000
1992-01-01,0.119,0.270,0.036,0.051,0.028,0.239,0.303,0.250
1992-02-01,0.097,0.014,0.047,0.042,0.050,0.004,0.016,0.002
1992-03-01,0.504,0.016,0.354,0.421,0.334,0.010,0.004,0.009
1992-04-01,0.702,0.091,0.502,0.652,0.457,0.056,0.083,0.061
1992-05-01,0.009,0.088,0.020,0.054,0.020,0.063,0.158,0.088
1992-06-01,0.030,0.106,0.019,0.070,0.022,0.065,0.143,0.084
1992-07-01,0.269,0.089,0.138,0.252,0.125,0.051,0.072,0.058
1992-08-01,0.046,0.032,0.060,0.016,0.056,0.014,0.051,0.021
1992-09-01,0.193,0.004,0.060,0.113,0.056,0.049,0.021,0.042
1992-10-01,0.011,0.323,0.007,0.000,0.006,0.120,0.167,0.152
1992-11-01,0.088,0.122,0.319,0.186,0.256,0.000,0.021,0.009
1992-12-01,0.590,0.070,1.178,0.898,1.140,0.005,0.001,0.002
1993-01-01,0.116,0.000,0.029,0.001,0.032,0.096,0.037,0.098
1993-02-01,0.136,0.018,0.000,0.009,0.002,0.091,0.082,0.111
1993-03-01,0.418,0.082,0.019,0.188,0.022,0.007,0.009,0.004
1993-04-01,0.462,0.044,0.032,0.179,0.041,0.013,0.000,0.009
1993-05-01,0.305,0.325,0.038,0.101,0.044,0.099,0.100,0.092
1993-06-01,0.368,0.098,0.027,0.097,0.030,0.000,0.001,0.000
1993-07-01,0.596,0.287,0.101,0.165,0.093,0.070,0.029,0.052
1993-08-01,0.426,0.008,0.087,0.128,0.084,0.012,0.027,0.019
1993-09-01,0.910,0.277,0.255,0.412,0.233,0.055,0.057,0.053
1993-10-01,0.314,0.106,0.054,0.072,0.068,0.013,0.003,0.014
1993-11-01,0.047,0.064,0.082,0.005,0.099,0.026,0.001,0.018
1993-12-01,0.013,0.178,0.135,0.047,0.118,0.002,0.011,0.007
1994-01-01,0.422,0.173,0.070,0.073,0.075,0.036,0.010,0.033
1994-02-01,0.085,0.228,0.015,0.000,0.039,0.024,0.042,0.019
1994-03-01,0.003,0.231,0.245,0.141,0.324,0.019,0.041,0.026
1994-04-01,0.134,0.162,0.692,0.478,0.593,0.000,0.006,0.010
1994-05-01,0.005,0.030,0.285,0.145,0.317,0.048,0.052,0.044
1994-06-01,0.004,0.134,0.156,0.085,0.198,0.003,0.003,0.003
1994-07-01,0.434,0.219,0.908,0.834,0.817,0.415,0.387,0.357
1994-08-01,0.264,0.174,0.662,0.564,0.685,0.364,0.311,0.345
1994-09-01,0.067,0.034,0.358,0.286,0.424,0.006,0.000,0.003
1994-10-01,0.901,0.014,1.470,1.281,1.470,0.147,0.075,0.093
1994-11-01,0.108,0.122,0.630,0.395,0.680,0.001,0.007,0.003
1994-12-01,0.666,0.087,1.516,1.082,1.411,0.008,0.009,0.001
1995-01-01,0.471,0.115,0.864,0.793,0.829,0.229,0.196,0.193
1995-02-01,0.000,0.427,0.010,0.036,0.014,0.310,0.476,0.351
1995-03-01,0.086,0.040,0.018,0.013,0.012,0.047,0.067,0.050
1995-04-01,0.095,0.018,0.057,0.060,0.079,0.024,0.024,0.012
1995-05-01,0.224,0.366,0.284,0.245,0.309,0.248,0.309,0.244
1995-06-01,0.938,0.019,0.934,0.799,1.012,0.034,0.003,0.033
1995-07-01,0.328,0.031,0.347,0.263,0.363,0.024,0.005,0.026
1995-08-01,0.043,0.004,0.027,0.008,0.035,0.001,0.015,0.000
1995-09-01,0.437,0.072,0.237,0.246,0.243,0.012,0.005,0.015
1995-10-01,0.266,0.001,0.259,0.179,0.255,0.000,0.024,0.001
1995-11-01,0.550,0.013,0.357,0.364,0.422,0.032,0.074,0.027
1995-12-01,0.097,0.031,0.085,0.072,0.109,0.035,0.062,0.034
1996-01-01,0.713,0.002,0.770,0.667,0.846,0.000,0.012,0.001
1996-02-01,0.000,0.291,0.011,0.000,0.005,0.239,0.196,0.222
1996-03-01,0.012,0.183,0.001,0.030,0.000,0.197,0.084,0.178
1996-04-01,0.163,0.057,0.110,0.183,0.103,0.039,0.016,0.041
1996-05-01,0.116,0.049,0.128,0.196,0.129,0.026,0.005,0.021
