,b,b+E,b+D,b+V,b+V+D,b+E+D,b+E+V,b+E+D+V
1990-08-01,0.000,0.162,0.494,0.396,0.404,0.052,0.037,0.041
1990-09-01,0.166,0.009,1.822,1.244,1.848,0.539,0.330,0.508
1990-10-01,0.069,0.133,1.484,1.091,1.490,0.189,0.110,0.148
1990-11-01,0.003,0.184,0.522,0.409,0.652,0.020,0.015,0.013
1990-12-01,0.154,0.063,0.104,0.050,0.092,0.036,0.063,0.031
1991-01-01,0.853,0.112,0.064,0.137,0.033,0.004,0.005,0.006
1991-02-01,1.295,0.112,0.342,0.369,0.273,0.000,0.007,0.001
1991-03-01,0.551,0.001,0.171,0.142,0.110,0.014,0.061,0.032
1991-04-01,0.747,0.236,0.181,0.245,0.133,0.030,0.020,0.022
1991-05-01,0.274,0.108,0.039,0.044,0.014,0.006,0.002,0.004
1991-06-01,0.009,0.047,0.001,0.002,0.000,0.068,0.125,0.082
1991-07-01,0.046,0.042,0.017,0.007,0.002,0.015,0.005,0.009
1991-08-01,0.040,0.024,0.056,0.049,0.072,0.001,0.008,0.004
1991-09-01,0.000,0.040,0.001,0.000,0.001,0.027,0.022,0.044
1991-10-01,0.035,0.026,0.034,0.017,0.033,0.005,0.021,0.015
1991-11-01,0.186,0.274,0.102,0.096,0.120,0.145,0.136,0.176
1991-12-01,0.022,0.082,0.000,0.000,0.002,0.006,0.012,0.013
1992-01-01,0.147,0.116,0.069,0.082,0.054,0.136,0.168,0.133
1992-02-01,0.086,0.003,0.051,0.040,0.044,0.005,0.012,0.002
1992-03-01,0.493,0.001,0.370,0.414,0.331,0.002,0.000,0.000
1992-04-01,0.523,0.086,0.383,0.483,0.338,0.040,0.062,0.054
1992-05-01,0.000,0.052,0.001,0.013,0.001,0.028,0.082,0.059
1992-06-01,0.009,0.086,0.005,0.033,0.006,0.044,0.095,0.075
1992-07-01,0.224,0.120,0.128,0.215,0.113,0.061,0.088,0.086
1992-08-01,0.058,0.029,0.070,0.025,0.068,0.006,0.035,0.021
1992-09-01,0.215,0.001,0.083,0.139,0.092,0.017,0.006,0.019
1992-10-01,0.034,0.375,0.000,0.010,0.001,0.173,0.235,0.195
1992-11-01,0.046,0.149,0.205,0.111,0.140,0.009,0.046,0.024
1992-12-01,0.473,0.062,0.951,0.727,0.881,0.004,0.002,0.001
1993-01-01,0.174,0.008,0.000,0.014,0.001,0.035,0.010,0.039
1993-02-01,0.153,0.011,0.004,0.019,0.002,0.047,0.054,0.067
1993-03-01,0.360,0.071,0.028,0.168,0.037,0.000,0.013,0.000
